,time_load_csv,time_extract_variants,time_build_distance_matrix,time_to_build_signature,dataset,ds_n_variants,ds_n_events,ds_n_unique_activity,ds_n_unique_trace,cov_top5_vars,cov_top10_vars,cov_top20_vars,cov_top50_vars,average_levenshtein,expectedOccReduction,p,seed,technique,time_sampling,timeout,SUM_time_preprocessing,trulysampled,undersampled,oversampled,emd
0,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,5,5,RandomSampling,0.004457235336303711,False,0.10439705848693848,0.4922448979591837,0.4073469387755102,0.10040816326530612,0.6928964867370033
1,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,IterativeCentralityWithRedundancyCheck,0.0018157958984375,False,0.10175561904907227,0.4579591836734694,0.29959183673469386,0.24244897959183673,0.6984260901450035
2,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,LogRank,0.16687679290771484,False,0.2668166160583496,0.4579591836734694,0.29959183673469386,0.24244897959183673,0.6984260901450035
3,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,SimilarityBased,0.01218104362487793,False,0.1121208667755127,0.4889795918367347,0.39102040816326533,0.12,0.6760916338770033
4,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,5,1,VariantFrequency,0.0015561580657958984,False,0.10149598121643066,0.4661224489795918,0.28816326530612246,0.24571428571428572,0.7167685197850034
5,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,RandomSampling,0.004344940185546875,False,0.10428476333618164,0.5077551020408163,0.3877551020408163,0.10448979591836735,0.6351430251620033
6,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,5,1,IterativeCminSum,0.0007240772247314453,False,0.15352368354797363,0.5061224489795918,0.38448979591836735,0.10938775510204081,0.6836864762480034
7,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,IterativeCminSum,0.004516124725341797,False,0.15731573104858398,0.5061224489795918,0.38448979591836735,0.10938775510204081,0.6836864762480034
8,0.09305286407470703,0.006886959075927734,0.0,0.028745412826538086,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,5,1,IterativeCminSumEuclidean,0.004158973693847656,False,0.1328442096710205,0.47346938775510206,0.35020408163265304,0.1763265306122449,0.7189715330610035
9,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,30,5,RandomSampling,0.003531932830810547,False,0.10347175598144531,0.5861224489795919,0.1673469387755102,0.24653061224489795,0.42800191763200296
10,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,IterativeCentralityWithRedundancyCheck,0.002259969711303711,False,0.10219979286193848,0.6489795918367347,0.09877551020408164,0.2522448979591837,0.3677447813830028
11,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,LogRank,0.12898492813110352,False,0.22892475128173828,0.649795918367347,0.09877551020408164,0.25142857142857145,0.37500724972200283
12,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,SimilarityBased,0.011102914810180664,False,0.11104273796081543,0.6604081632653062,0.2073469387755102,0.13224489795918368,0.3572569535290028
13,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,30,1,VariantFrequency,0.003674745559692383,False,0.10361456871032715,0.6555102040816326,0.12,0.22448979591836735,0.37419680825300283
14,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,RandomSampling,0.0033330917358398438,False,0.10327291488647461,0.553469387755102,0.35591836734693877,0.09061224489795919,0.43829533728300296
15,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,30,1,IterativeCminSum,0.0024170875549316406,False,0.15521669387817383,0.673469387755102,0.17224489795918368,0.15428571428571428,0.37783670262800284
16,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,IterativeCminSum,0.003406047821044922,False,0.1562056541442871,0.673469387755102,0.17224489795918368,0.15428571428571428,0.37783670262800284
17,0.09305286407470703,0.006886959075927734,0.0,0.028745412826538086,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,30,1,IterativeCminSumEuclidean,0.006674289703369141,False,0.135359525680542,0.6587755102040816,0.1983673469387755,0.14285714285714285,0.3617989766580028
18,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,55,5,RandomSampling,0.003408193588256836,False,0.1033480167388916,0.7363265306122448,0.10204081632653061,0.16163265306122448,0.2817418962710023
19,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,IterativeCentralityWithRedundancyCheck,0.002911090850830078,False,0.10285091400146484,0.846530612244898,0.060408163265306125,0.09306122448979592,0.15876996028600207
20,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,LogRank,0.13247990608215332,False,0.23241972923278809,0.843265306122449,0.054693877551020405,0.10204081632653061,0.15977030588200208
21,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,SimilarityBased,0.010524988174438477,False,0.11046481132507324,0.843265306122449,0.062040816326530614,0.0946938775510204,0.1627138714510021
22,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,55,1,VariantFrequency,0.0058040618896484375,False,0.1057438850402832,0.8440816326530612,0.05714285714285714,0.09877551020408164,0.15947959995100208
23,0.09305286407470703,0.006886959075927734,0.0,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,RandomSampling,0.002949237823486328,False,0.1028890609741211,0.6759183673469388,0.19346938775510203,0.1306122448979592,0.35077873539900245
24,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,False,55,1,IterativeCminSum,0.004337787628173828,False,0.15713739395141602,0.8440816326530612,0.05714285714285714,0.09877551020408164,0.15947959995100208
25,0.09305286407470703,0.006886959075927734,0.05285978317260742,0.0,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,IterativeCminSum,0.0045261383056640625,False,0.15732574462890625,0.8440816326530612,0.05714285714285714,0.09877551020408164,0.15947959995100208
26,0.09305286407470703,0.006886959075927734,0.0,0.028745412826538086,BPI2011,72,10000,272,73,0.0821917808219178,0.1506849315068493,0.2876712328767123,0.6986301369863014,0.8571703490932844,True,55,1,IterativeCminSumEuclidean,0.012313127517700195,False,0.14099836349487305,0.8604081632653061,0.07346938775510205,0.06612244897959184,0.15255414630000208
